,acc_train,acc_val,cost_train,cost_val,decay_factor,epoch_nums,epochs,final_acc_train,final_acc_val,final_cost_train,final_cost_val,hidden_size,initial_learning_rate,momentum,plot,regularization
0,"[0.1067, 0.14660000000000001, 0.18809999999999999, 0.20799999999999999, 0.22070000000000001]","[0.1108, 0.14949999999999999, 0.18110000000000001, 0.20380000000000001, 0.21560000000000001]","[2.8794872164765546, 2.8332526706145407, 2.7871363899659696, 2.7458104666253274, 2.7097428528727878]","[2.8752431919347088, 2.829910644029729, 2.785019594928261, 2.7452387339468096, 2.7107085964628519]",0.998,"[0, 1, 2, 3, 4]",5,0.2207,0.2156,2.709742852872788,2.710708596462852,50,0.05,0.8,images/coarse_10.png,0.005
0,"[0.1303, 0.13700000000000001, 0.1464, 0.1573, 0.16880000000000001]","[0.1215, 0.1275, 0.13769999999999999, 0.14460000000000001, 0.15679999999999999]","[2.9127223660534094, 2.9014533087595993, 2.8870593539606006, 2.8709192432594524, 2.8542187303266635]","[2.9093171324574856, 2.8987118800382703, 2.8852574979256609, 2.8701958627076753, 2.8545638278957797]",0.998,"[0, 1, 2, 3, 4]",5,0.1688,0.1568,2.8542187303266635,2.8545638278957797,50,0.01,0.8,images/coarse_11.png,0.005
0,"[0.1241, 0.1288, 0.13589999999999999, 0.14330000000000001, 0.15160000000000001]","[0.1232, 0.12889999999999999, 0.1363, 0.1452, 0.15190000000000001]","[2.9041065305132783, 2.8970320218022252, 2.8877848425726391, 2.8770792290479981, 2.8655113035899773]","[2.8995239049946546, 2.8928002777754127, 2.8839956019695223, 2.8738198319811898, 2.8628317163427894]",0.998,"[0, 1, 2, 3, 4]",5,0.1516,0.1519,2.8655113035899773,2.8628317163427894,50,0.005,0.8,images/coarse_12.png,0.005
0,"[0.10630000000000001, 0.10639999999999999, 0.1076, 0.1086, 0.10920000000000001]","[0.1018, 0.1023, 0.1032, 0.1042, 0.1051]","[2.9327253634780113, 2.9310252168356583, 2.928743320048949, 2.9260157778168354, 2.9229486150731616]","[2.9360611465761521, 2.9343878361577889, 2.9321393377266816, 2.9294482813470806, 2.9264225839084825]",0.998,"[0, 1, 2, 3, 4]",5,0.1092,0.1051,2.9229486150731616,2.9264225839084825,50,0.001,0.8,images/coarse_13.png,0.005
0,"[0.17480000000000001, 0.27900000000000003, 0.30709999999999998, 0.32450000000000001, 0.33629999999999999]","[0.17530000000000001, 0.27150000000000002, 0.29420000000000002, 0.31, 0.32329999999999998]","[3.3232272142613946, 3.160008574013724, 3.0200688027913629, 2.8919016518531198, 2.7969959239393987]","[3.3351363977130193, 3.1867324776274222, 3.0520586382760104, 2.9271194248491126, 2.8392516040450548]",0.998,"[0, 1, 2, 3, 4]",5,0.3363,0.3233,2.7969959239393987,2.839251604045055,50,0.5,0.8,images/coarse_14.png,0.01
0,"[0.2089, 0.2571, 0.2853, 0.31019999999999998, 0.33179999999999998]","[0.20630000000000001, 0.24690000000000001, 0.27279999999999999, 0.29380000000000001, 0.31469999999999998]","[3.3096549030362672, 3.2099304611085797, 3.1114489519505901, 3.0145755104409471, 2.9243951106739079]","[3.3171825961000074, 3.2267644126637327, 3.1351012279850967, 3.0449552696532924, 2.9610443144670664]",0.998,"[0, 1, 2, 3, 4]",5,0.3318,0.3147,2.924395110673908,2.9610443144670664,50,0.3,0.8,images/coarse_15.png,0.01
0,"[0.15909999999999999, 0.20899999999999999, 0.2366, 0.25440000000000002, 0.26819999999999999]","[0.16289999999999999, 0.2077, 0.23569999999999999, 0.25640000000000002, 0.27000000000000002]","[3.4112347320640408, 3.3372216578653284, 3.2693963726964794, 3.2084713778379932, 3.1529130637605101]","[3.4104152527683462, 3.3382455648861642, 3.2721292906595956, 3.2139214589420524, 3.1617710279450466]",0.998,"[0, 1, 2, 3, 4]",5,0.2682,0.27,3.15291306376051,3.1617710279450466,50,0.1,0.8,images/coarse_16.png,0.01
0,"[0.1013, 0.16420000000000001, 0.20949999999999999, 0.22989999999999999, 0.2402]","[0.10249999999999999, 0.1643, 0.20569999999999999, 0.22359999999999999, 0.23119999999999999]","[3.4605335204092436, 3.3939193293880265, 3.3340039864269446, 3.2882914566220922, 3.2516331836553984]","[3.456870183008621, 3.3940633743289021, 3.3392735282713657, 3.2986441054080724, 3.2658503020144609]",0.998,"[0, 1, 2, 3, 4]",5,0.2402,0.2312,3.2516331836553984,3.265850302014461,50,0.05,0.8,images/coarse_17.png,0.01
0,"[0.1249, 0.1326, 0.1404, 0.15459999999999999, 0.17150000000000001]","[0.13250000000000001, 0.1376, 0.1472, 0.15709999999999999, 0.17230000000000001]","[3.4705723334808622, 3.4570704291490744, 3.4401162764559166, 3.4214791509297799, 3.4025495357994817]","[3.4655084506565053, 3.4524230530811026, 3.4360135412886743, 3.4180545908909989, 3.3998710117153594]",0.998,"[0, 1, 2, 3, 4]",5,0.1715,0.1723,3.4025495357994817,3.3998710117153594,50,0.01,0.8,images/coarse_18.png,0.01
0,"[0.1129, 0.1163, 0.12139999999999999, 0.1275, 0.13270000000000001]","[0.10929999999999999, 0.1129, 0.1182, 0.1205, 0.12620000000000001]","[3.4694424549260443, 3.4634921126408114, 3.4557204873329863, 3.4467313180372399, 3.4370316182954754]","[3.4680647574389134, 3.4623477497487971, 3.4548820130511948, 3.4462420983112922, 3.4368858166724015]",0.998,"[0, 1, 2, 3, 4]",5,0.1327,0.1262,3.4370316182954754,3.4368858166724015,50,0.005,0.8,images/coarse_19.png,0.01
