,acc_train,acc_val,cost_train,cost_val,decay_factor,epoch_nums,epochs,final_acc_train,final_acc_val,final_cost_train,final_cost_val,hidden_size,initial_learning_rate,momentum,plot,regularization
0,"[0.1837, 0.22969999999999999, 0.2828, 0.29670000000000002, 0.31540000000000001, 0.33560000000000001, 0.35549999999999998, 0.37, 0.37480000000000002, 0.3831]","[0.18340000000000001, 0.2288, 0.27210000000000001, 0.28939999999999999, 0.29970000000000002, 0.31380000000000002, 0.33439999999999998, 0.34749999999999998, 0.35089999999999999, 0.35880000000000001]","[2.6250382542850237, 2.5435901419576319, 2.4342041397345318, 2.377232836036808, 2.3330927777115149, 2.280575214006022, 2.2343981211437081, 2.2007528532988019, 2.1759273605098581, 2.1487281409725911]","[2.6330889620749112, 2.5557728415555654, 2.4504383829961771, 2.3977706774509615, 2.3612852219810971, 2.3182049209998592, 2.2804397473852585, 2.2541482910289941, 2.2359492177927125, 2.2153771529923301]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3831,0.3588,2.148728140972591,2.21537715299233,50,0.2833333333333333,0.8,images/fine_10.png,0.0034999999999999996
0,"[0.1794, 0.2162, 0.25430000000000003, 0.29509999999999997, 0.30659999999999998, 0.3261, 0.34649999999999997, 0.3589, 0.37309999999999999, 0.38119999999999998]","[0.17879999999999999, 0.21240000000000001, 0.2472, 0.2873, 0.30270000000000002, 0.31419999999999998, 0.32619999999999999, 0.33069999999999999, 0.34289999999999998, 0.35210000000000002]","[2.6201292390699389, 2.551309091657028, 2.4671386649616212, 2.3915884602601958, 2.3410349480499666, 2.2939642384325758, 2.2491589336818767, 2.2153685487960377, 2.1853663170025772, 2.159241151899459]","[2.6227749653604842, 2.5591645855041225, 2.4824093916026229, 2.4133814088714138, 2.3660499357927449, 2.3231144876001313, 2.28685508987608, 2.2639672667460276, 2.2434971582403316, 2.2241024422552242]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3812,0.3521,2.159241151899459,2.2241024422552242,50,0.25,0.8,images/fine_11.png,0.0034999999999999996
0,"[0.1925, 0.25750000000000001, 0.28749999999999998, 0.313, 0.33300000000000002, 0.34589999999999999, 0.36049999999999999, 0.378, 0.3906, 0.39929999999999999]","[0.1918, 0.25040000000000001, 0.27460000000000001, 0.3019, 0.32050000000000001, 0.33229999999999998, 0.34839999999999999, 0.36059999999999998, 0.36849999999999999, 0.37369999999999998]","[2.4935432272431455, 2.373896646794055, 2.2977311570906798, 2.2424636322029547, 2.1931263171787743, 2.1556294900287543, 2.1218115313242341, 2.0908430519210768, 2.0620307084840261, 2.0373742398659749]","[2.5010154540875265, 2.3879739536385847, 2.3189655162960618, 2.2717594053011219, 2.2309922602193417, 2.2013923660920751, 2.1752626824555028, 2.1509108292564765, 2.1280174703416419, 2.1088552745143083]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3993,0.3737,2.037374239865975,2.1088552745143083,50,0.35,0.8,images/fine_12.png,0.00275
0,"[0.1981, 0.26390000000000002, 0.2954, 0.3175, 0.33750000000000002, 0.34489999999999998, 0.36230000000000001, 0.37040000000000001, 0.38500000000000001, 0.39550000000000002]","[0.19089999999999999, 0.25569999999999998, 0.28999999999999998, 0.30930000000000002, 0.32729999999999998, 0.33450000000000002, 0.34339999999999998, 0.3508, 0.3649, 0.36799999999999999]","[2.5040920411537546, 2.399505996458358, 2.3143470806010562, 2.2474377598637751, 2.2026464047456575, 2.1662059804496883, 2.1246154146053491, 2.0932135283903288, 2.0606264638565195, 2.0368736356789112]","[2.5093242163797034, 2.4118489096869711, 2.3348505775284036, 2.2771591108747167, 2.2416901562262859, 2.2127203458513129, 2.1799718729863526, 2.1572728481407855, 2.1299829777204926, 2.1101778430912752]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3955,0.368,2.036873635678911,2.110177843091275,50,0.31666666666666665,0.8,images/fine_13.png,0.00275
0,"[0.18679999999999999, 0.24460000000000001, 0.27979999999999999, 0.29930000000000001, 0.3115, 0.32650000000000001, 0.34770000000000001, 0.3664, 0.36859999999999998, 0.3795]","[0.17680000000000001, 0.23280000000000001, 0.27179999999999999, 0.29499999999999998, 0.30220000000000002, 0.3175, 0.3256, 0.3427, 0.34889999999999999, 0.35560000000000003]","[2.506774857880731, 2.4124508571174004, 2.3419567617283694, 2.2876731694256072, 2.2394226801966215, 2.1960948684605039, 2.1589184164430297, 2.1175258859878756, 2.0879235723129317, 2.0636999977612214]","[2.5157876527178118, 2.4257247985120305, 2.3562901452786624, 2.3035315753407346, 2.2611745528895142, 2.2269497420410596, 2.199913187573439, 2.1683188704063578, 2.1468147285292312, 2.1290979555136005]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3795,0.3556,2.0636999977612214,2.1290979555136005,50,0.2833333333333333,0.8,images/fine_14.png,0.00275
0,"[0.2049, 0.23960000000000001, 0.27279999999999999, 0.30299999999999999, 0.3246, 0.3322, 0.34289999999999998, 0.35849999999999999, 0.37209999999999999, 0.3846]","[0.20150000000000001, 0.23680000000000001, 0.27010000000000001, 0.2969, 0.31180000000000002, 0.31580000000000003, 0.32740000000000002, 0.34079999999999999, 0.34389999999999998, 0.34960000000000002]","[2.5254428661390245, 2.4268205043246738, 2.3493468508938085, 2.28611874511392, 2.2395750153220271, 2.206607711232722, 2.1691727905760065, 2.1310826597051911, 2.1022514543570612, 2.0782596647476206]","[2.5254884555608292, 2.4315269322296236, 2.3629141041095405, 2.309311294752276, 2.271007982072005, 2.2450344040957222, 2.215150757212951, 2.1842391808989183, 2.1613801420155321, 2.1427622537229416]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3846,0.3496,2.0782596647476206,2.1427622537229416,50,0.25,0.8,images/fine_15.png,0.00275
0,"[0.21909999999999999, 0.24399999999999999, 0.28620000000000001, 0.31219999999999998, 0.33100000000000002, 0.35120000000000001, 0.3619, 0.38009999999999999, 0.38179999999999997, 0.38950000000000001]","[0.20799999999999999, 0.2407, 0.28270000000000001, 0.3054, 0.32019999999999998, 0.3306, 0.33560000000000001, 0.35270000000000001, 0.36099999999999999, 0.3695]","[2.3893192884923389, 2.3069501964947006, 2.2267991970978027, 2.1586512734358809, 2.1071009087848989, 2.0654466017955984, 2.0300779585796667, 1.9919696466269465, 1.9705948243869562, 1.9464085230473942]","[2.3963595913454121, 2.3217581244953625, 2.2483883341295088, 2.1878027016965387, 2.1455825611574668, 2.1136968461866905, 2.0887652882013579, 2.0615439726572227, 2.0494308103263501, 2.0317762667825745]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3895,0.3695,1.9464085230473942,2.0317762667825745,50,0.35,0.8,images/fine_16.png,0.0019999999999999996
0,"[0.1792, 0.2301, 0.27029999999999998, 0.30480000000000002, 0.32190000000000002, 0.34050000000000002, 0.35770000000000002, 0.36909999999999998, 0.37969999999999998, 0.38629999999999998]","[0.18540000000000001, 0.23119999999999999, 0.2621, 0.29370000000000002, 0.30759999999999998, 0.3231, 0.33589999999999998, 0.34649999999999997, 0.35349999999999998, 0.35699999999999998]","[2.4575514836486581, 2.3510174202649328, 2.2667583059051317, 2.1976157135178993, 2.1503998217459435, 2.1069474047947838, 2.0692736399234333, 2.0404870384145388, 2.0035941331845128, 1.9780519208147636]","[2.4580150470500644, 2.358079482922772, 2.2795068532820513, 2.2176837933842468, 2.1804872350019338, 2.1484040234265405, 2.1207465844953162, 2.1012143742300347, 2.073584263622235, 2.0568109268866626]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3863,0.357,1.9780519208147636,2.0568109268866626,50,0.31666666666666665,0.8,images/fine_17.png,0.0019999999999999996
0,"[0.18690000000000001, 0.22209999999999999, 0.25679999999999997, 0.29110000000000003, 0.31630000000000003, 0.32679999999999998, 0.33639999999999998, 0.34989999999999999, 0.37119999999999997, 0.3795]","[0.18540000000000001, 0.22320000000000001, 0.25609999999999999, 0.28820000000000001, 0.30170000000000002, 0.31640000000000001, 0.31969999999999998, 0.33150000000000002, 0.34560000000000002, 0.35599999999999998]","[2.4445579865746256, 2.3519906811475662, 2.2801406196624692, 2.2113702397377066, 2.1597174408106188, 2.1182073784468489, 2.0905235449335353, 2.0586027179659516, 2.0259799814589199, 2.0008645026945659]","[2.4470637701721931, 2.3551277415470642, 2.2883704931050337, 2.2291266220686374, 2.1849898843591258, 2.1503501111852872, 2.1322688376198839, 2.1098943372310259, 2.0845916122255015, 2.0630990530484725]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3795,0.356,2.000864502694566,2.0630990530484725,50,0.2833333333333333,0.8,images/fine_18.png,0.0019999999999999996
0,"[0.16850000000000001, 0.22359999999999999, 0.26690000000000003, 0.28949999999999998, 0.30830000000000002, 0.32479999999999998, 0.34089999999999998, 0.35470000000000002, 0.36759999999999998, 0.37469999999999998]","[0.17180000000000001, 0.22459999999999999, 0.25840000000000002, 0.2762, 0.29499999999999998, 0.313, 0.32569999999999999, 0.34010000000000001, 0.34760000000000002, 0.35680000000000001]","[2.437421840784137, 2.343004191770182, 2.2721375657493765, 2.2169475887627041, 2.1711070822428638, 2.1353953844012432, 2.1009856654959416, 2.0682152246712975, 2.0382989874469164, 2.0107569291323864]","[2.4352696592086978, 2.3501987331181158, 2.2880909369915297, 2.2394156668368583, 2.1986612256765588, 2.1680036953095936, 2.1410496306801763, 2.115508098697553, 2.0924717320755168, 2.0716985380127291]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3747,0.3568,2.0107569291323864,2.071698538012729,50,0.25,0.8,images/fine_19.png,0.0019999999999999996
0,"[0.20610000000000001, 0.23880000000000001, 0.2782, 0.31730000000000003, 0.33450000000000002, 0.34999999999999998, 0.36120000000000002, 0.37240000000000001, 0.38279999999999997, 0.39419999999999999]","[0.19389999999999999, 0.23230000000000001, 0.26800000000000002, 0.30370000000000003, 0.32579999999999998, 0.33379999999999999, 0.34599999999999997, 0.35460000000000003, 0.3629, 0.36849999999999999]","[2.3363778959634853, 2.24740389408288, 2.1747724848800654, 2.0918522477678225, 2.0374839344836904, 2.0021377193241836, 1.9683546641438878, 1.9323190128462953, 1.9057649584113519, 1.8837424447661755]","[2.34236460620349, 2.2593624487357715, 2.1921879468579144, 2.1175805522559092, 2.0707284488059399, 2.0454092025447523, 2.0240269306390082, 1.9993068025224012, 1.9811385852960717, 1.9664221940839832]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3942,0.3685,1.8837424447661755,1.9664221940839832,50,0.35,0.8,images/fine_20.png,0.0012499999999999994
0,"[0.19439999999999999, 0.25940000000000002, 0.28449999999999998, 0.30380000000000001, 0.33079999999999998, 0.34610000000000002, 0.35870000000000002, 0.37509999999999999, 0.38400000000000001, 0.39150000000000001]","[0.19, 0.25240000000000001, 0.27860000000000001, 0.29020000000000001, 0.31090000000000001, 0.31709999999999999, 0.32919999999999999, 0.34620000000000001, 0.3553, 0.36109999999999998]","[2.3372306503303064, 2.2274386505877053, 2.1577506605242505, 2.1081481652496024, 2.0551890021742119, 2.0129628170895124, 1.9725331563345536, 1.9383576159730695, 1.9128728477289429, 1.8908238591508562]","[2.3435871366634005, 2.2401585580563412, 2.1788338420622497, 2.1372901380819256, 2.0920348579715413, 2.0581617636992671, 2.0268012511449496, 2.0012328526488998, 1.9819505431844, 1.9660270927996661]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3915,0.3611,1.8908238591508562,1.9660270927996661,50,0.31666666666666665,0.8,images/fine_21.png,0.0012499999999999994
0,"[0.1948, 0.24979999999999999, 0.27489999999999998, 0.312, 0.33660000000000001, 0.34310000000000002, 0.35360000000000003, 0.36859999999999998, 0.37930000000000003, 0.38990000000000002]","[0.19769999999999999, 0.24579999999999999, 0.2732, 0.29799999999999999, 0.31540000000000001, 0.33069999999999999, 0.33979999999999999, 0.34889999999999999, 0.35349999999999998, 0.36109999999999998]","[2.3322177906137793, 2.249529357524171, 2.1778328514955603, 2.1081818743644436, 2.0570386537599195, 2.0163135015336593, 1.983134012259383, 1.9469829143156814, 1.9182312857257082, 1.8950634873607073]","[2.3394515832500478, 2.2643285175673102, 2.1995065136218801, 2.1356861405779979, 2.0882240294342176, 2.0518212058044272, 2.0259844135498937, 1.9996839318668185, 1.9802265293002357, 1.9639490191491027]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3899,0.3611,1.8950634873607073,1.9639490191491027,50,0.2833333333333333,0.8,images/fine_22.png,0.0012499999999999994
0,"[0.1837, 0.23089999999999999, 0.26490000000000002, 0.30199999999999999, 0.32669999999999999, 0.34210000000000002, 0.35780000000000001, 0.36849999999999999, 0.37680000000000002, 0.38279999999999997]","[0.1908, 0.23130000000000001, 0.25519999999999998, 0.2944, 0.3155, 0.32350000000000001, 0.33679999999999999, 0.34210000000000002, 0.34660000000000002, 0.35570000000000002]","[2.3672535757300173, 2.2771986156092443, 2.2030001612093506, 2.1330769337048694, 2.0755834643722708, 2.029476172779761, 1.9899221727138854, 1.9653449325801677, 1.9405525422838883, 1.9150936997594388]","[2.3627872007245259, 2.2770667436712819, 2.2093671716407335, 2.1491650783498666, 2.1025639635485005, 2.0662359076078776, 2.0344164433009624, 2.0162955109398646, 1.9985015148332756, 1.9804980811099229]",0.998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.3828,0.3557,1.9150936997594388,1.9804980811099229,50,0.25,0.8,images/fine_23.png,0.0012499999999999994
